Filter X,Filter Y,IMU X,IMU Y,GPS X,GPS Y,Ground Truth X,Ground Truth Y,Algorithm,Spoofing Rate
0.035526315789473684,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0019999999999997797,CI,2
0.06780821917808219,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0019999999999997797,CI,2
0.0782967032967033,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0009999999999994458,CI,2
0.08125613346418059,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0009999999999994458,CI,2
0.08206021561924796,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0009999999999994458,CI,2
0.08227647431832592,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0009999999999994458,CI,2
0.08233447865732788,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0019999999999997797,CI,2
0.08235002504008943,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0019999999999997797,CI,2
0.08235419098003019,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235530726175826,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235560637008839,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235568651603466,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.0823557079910842,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571374530692,0.0,0.0,0.0,0.0,0.0,0.0019999999999988916,0.0019999999999997797,CI,2
0.0823557152871463,0.0,0.0,0.0,0.0,0.0,0.0019999999999988916,0.0019999999999997797,CI,2
0.08235571570028094,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571581098003,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571584064176,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571584858958,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.15556079660760694,0.0,0.0,0.0,0.1,0.0,0.0,0.0019999999999997797,CI,2
0.2481789933170002,-0.003228112847503322,0.0,0.0,0.19972389031384372,-0.004351128148092717,0.0,0.0009999999999994458,CI,2
0.3461613253835264,-0.0027809864426555303,0.0,0.0,0.2996696465570401,-0.0026680430792844884,0.0,0.0009999999999994458,CI,2
0.4455895406429765,-0.0010597397401022957,0.0,0.0,0.3996271007086433,-0.0005000435664808779,0.0,0.0009999999999994458,CI,2
0.5456393620001762,0.0012913033932137523,0.0,0.0,0.4999044349881546,0.0020915626302077267,0.0,0.0009999999999994458,CI,2
0.6460876067201263,8.464119818845393e-05,0.0,0.0,0.6004985050670152,-0.0003144989289434842,0.0019999999999988916,0.004999999999999893,CI,2
0.7463357563438852,0.0026510189782361394,0.0,0.0,0.7006734074990816,0.003540572244704926,0.0019999999999988916,0.004999999999999893,CI,2
0.8463169960411656,0.006783672174903158,0.0,0.0,0.8005569311598879,0.008250838592885432,0.0019999999999988916,0.009999999999999787,CI,2
0.9463567680830071,0.011821418924035897,0.0,0.0,0.9006181039391777,0.013661988574018265,0.0019999999999988916,0.009999999999999787,CI,2
1.0454829259243308,0.01473259583484116,0.0,0.0,0.999409980447284,0.01591646952216335,0.0,0.016000000000000014,CI,2
1.1456151601493478,0.020697412905141536,0.0,0.0,1.0999103699729114,0.022981703853103736,0.0,0.016000000000000014,CI,2
1.2460958778189468,0.028190281280688834,0.0,0.0,1.2005187042103593,0.03109615852465569,-0.0019999999999988916,0.02799999999999958,CI,2
1.3467244545287282,0.03685247783968886,0.0,0.0,1.3012016153421062,0.040282951023824586,-0.0019999999999988916,0.02799999999999958,CI,2
1.4459040606069973,0.04462083286324438,0.0,0.0,1.3998515877356508,0.047888197743320336,-0.0019999999999988916,0.02799999999999958,CI,2
1.546170979665947,0.0553457665646866,0.0,0.0,1.5005167246033173,0.059764527684111494,-0.0019999999999988916,0.02799999999999958,CI,2
1.6467622051817894,0.06808565821861626,0.0,0.0,1.601227512680524,0.07338206561453813,-0.0030000000000001137,0.041999999999999815,CI,2
1.7475503803033774,0.08254419824815769,0.0,0.0,1.702089299922142,0.08865383477377833,-0.004999999999999005,0.06099999999999994,CI,2
1.844372763033787,0.09460211065189253,0.0,0.0,1.7974639873508258,0.10014542077964837,-0.0070000000000014495,0.08499999999999996,CI,2
1.9444956396055324,0.11161059556128083,0.0,0.0,1.8987960821131682,0.11907733803547899,-0.0070000000000014495,0.08499999999999996,CI,2
2.045696177623766,0.1313269807879116,0.001374236644963684,0.09869006331062989,2.0003949815703392,0.14003360301370582,-0.0070000000000014495,0.08499999999999996,CI,2
2.147255795058353,0.15321094542577712,-0.0014334200166096316,0.14622944591233938,2.102092119892138,0.16302521677725523,-0.012000000000000455,0.11899999999999977,CI,2
2.2511415263603656,0.1727177855462526,-0.005025785447107255,0.18424316084757952,2.2068410037386053,0.18212419749601272,-0.013000000000001677,0.1589999999999998,CI,2
2.353457220094259,0.197675750856366,-0.007797120914553764,0.21940224928999197,2.3085887584746567,0.20933604908832046,-0.013000000000001677,0.1589999999999998,CI,2
2.4554544268065155,0.22566838560566757,-0.009860426702721803,0.2549310184951138,2.4104826459733966,0.23885027368180242,-0.019999999999999574,0.20699999999999985,CI,2
