Time Step,Health Status,dm,dmdt,domega
1717201217027660830,1.0,[0.],[0.],0.0
1717201217085469863,1.0,[0.],[0.],0.0
1717201217142584831,1.0,[0.],[0.],0.0
1717201217199162217,1.0,[0.30467515],[5.38510477e-09],0.0
1717201217254791314,0.0,[0.54139185],[9.73217063e-09],0.3715560286663268
1717201217309340818,0.0,[1.05118886],[1.92703655e-08],2.449712766399278
1717201217364534902,0.0,[1.46160376],[2.64811675e-08],0.18890876324513606
1717201217419943192,0.0,[1.95670896],[3.53143726e-08],-2.9948715487082778
1717201217476057159,0.9833725898053838,[2.02243442],[3.60415519e-08],0.005157892623095793
1717201217532894519,0.8528375010350279,[2.47718981],[4.35838302e-08],-0.015344705873491201
1717201217589069595,0.1043053463086181,[2.1390644],[3.80785321e-08],0.037856458443787516
1717201217644216137,0.0,[0.19332817],[3.50571704e-09],0.5106801905492072
1717201217698588898,0.0,[1.02580256],[1.88661116e-08],1.8957950338418645
1717201217752432986,0.0,[1.33911878],[2.48703033e-08],-2.3242377864948147
1717201217806024384,0.0,[2.18044107],[4.06864009e-08],-0.12210841363877775
1717201217858548363,0.0,[0.95291495],[1.81424749e-08],0.062345017992882876
1717201217913692069,0.0,[0.0591664],[1.07294937e-09],1.7131821155951987
1717201217969138613,0.0,[1.61783337],[2.91782549e-08],-0.5264556096755928
1717201218024271087,0.0,[1.15299066],[2.09130953e-08],-1.1547782337090289
1717201218082163441,0.0,[1.9073716],[3.29468661e-08],2.845987642905505
1717201218137577121,0.0,[0.90403117],[1.6314224e-08],-2.90128222855934
1717201218226596494,0.0,[0.77411471],[8.69602528e-09],2.921083883364708
1717201218281148990,0.0,[1.91849343],[3.51678404e-08],-2.8220151807719094
1717201218335364548,0.0,[3.68189677],[6.7912182e-08],-0.12503832694722336
1717201218387274647,0.9437399877490424,[3.37475141],[6.50114629e-08],-0.009487677250071908
1717201218438991141,0.0,[0.5779515],[1.11753808e-08],0.30747820863292474
1717201218493172623,0.0,[2.44996316],[4.52177222e-08],2.4586961792451945
1717201218549297471,0.0,[0.39791178],[7.08976144e-09],-2.381857880169811
1717201218602050753,0.0,[0.74122678],[1.40508185e-08],2.2143060117804714
1717201218655221335,0.0,[1.39635411],[2.62617801e-08],-2.5951185065673954
1717201218709586914,0.0,[2.820715],[5.18842088e-08],0.09533285210040901
1717201218760247341,0.0,[2.70193247],[5.33341838e-08],-0.1025219833903094
1717201218812672007,0.0,[0.99883688],[1.90528043e-08],0.049810077603080094
1717201218863694023,0.0,[0.82871078],[1.62422197e-08],0.07588952270303177
1717201218915360241,0.13393126080681095,[3.04275313],[5.88925087e-08],-0.0372251256909779
1717201218968153641,0.0,[2.69537785],[5.10552059e-08],-0.07315532614291882
1717201219020480918,0.0,[1.78307167],[3.40753772e-08],0.12868133322287217
1717201219075078477,0.0,[0.28893667],[5.29211704e-09],0.20500589770938493
1717201219128284708,0.0,[1.14528761],[2.15254419e-08],2.63180914728592
1717201219184611206,0.0,[2.2225276],[3.94579411e-08],-2.9609034978504054
1717201219238308309,0.0,[2.01544199],[3.75335338e-08],0.0604742645596346
1717201219293888261,0.0,[0.43274353],[7.7859645e-09],2.8584212707513275
1717201219348115241,0.0,[2.64485926],[4.87738633e-08],-2.9383416882383138
1717201219402080734,0.0,[2.38240794],[4.4146877e-08],0.10531565062503084
1717201219458719338,0.04115719174516774,[0.62548832],[1.10434984e-08],-0.03916820768439286
1717201219509824978,0.4596570777137763,[1.84439882],[3.60899278e-08],0.02940320859460678
1717201219562541008,0.9969242087214073,[3.44056714],[6.5266053e-08],0.002218392671676561
1717201219647566156,0.0,[0.64627841],[7.60102664e-09],0.06841651114628516
1717201219698072673,0.0,[1.68365614],[3.33354243e-08],2.883612649437496
1717201219750570621,0.0,[0.85323076],[1.625265e-08],-0.053047803167096674
1717201219801604592,0.0,[3.38506964],[6.63297337e-08],-2.79809816242022
1717201219855653396,0.0,[0.39925644],[7.38696179e-09],-0.11564830748696917
1717201219910484437,0.0,[2.27326665],[4.14594845e-08],3.0305836771601498
1717201219963245826,0.0,[2.81983135],[5.34449805e-08],-2.9761275079462046
1717201220016697061,0.0,[3.39888795],[6.35885777e-08],-0.05862913644848691
1717201220074037736,0.9281756456300905,[2.11819579],[3.69405457e-08],0.010720026445483019
1717201220129787207,0.0,[0.34501996],[6.18875765e-09],0.09286042904684018
1717201220184935693,0.0,[1.43859491],[2.60858463e-08],2.952546836500834
1717201220239719572,0.0,[1.03837389],[1.89540049e-08],-2.84082717120901
1717201220294636951,0.0,[1.16874917],[2.1281955e-08],2.752667224833286
1717201220347961791,0.0,[0.13169187],[2.46961584e-09],-1.7913647788735703
1717201220403656495,0.0,[1.1689016],[2.09876619e-08],0.7509895883775775
1717201220459144489,0.0,[2.19520299],[3.95617658e-08],-1.916676560695026
1717201220513048353,0.9859507023115183,[0.63032491],[1.16935016e-08],-0.004741189334077564
1717201220566802977,0.0,[1.70154916],[3.16540061e-08],2.88869415754948
1717201220618591831,0.0,[0.63111328],[1.21862765e-08],0.15877177535570652
1717201220669646191,0.0,[2.07657113],[4.06737283e-08],-2.9130246598719394
1717201220720272280,0.0,[0.74901792],[1.47950977e-08],2.874414207960888
1717201220774177386,0.0,[2.88095188],[5.34448802e-08],-2.932993916349992
1717201220826866155,0.0,[0.24381656],[4.62748639e-09],0.35522732248108646
1717201220878748209,0.0,[3.35756656],[6.47153759e-08],2.1943150813200556
1717201220931044327,0.0,[2.11731514],[4.04870431e-08],-2.6955878746178827
1717201220984021773,0.0,[0.67754582],[1.27893261e-08],0.40412358162834694
1717201221074279834,0.0,[1.33726561],[1.48160243e-08],0.191897791634417
1717201221128472357,0.0,[2.35929192],[4.35353778e-08],-0.3906669877976858
1717201221183398751,0.0,[0.14162357],[2.5784247e-09],1.7454964967714472
1717201221238142963,0.0,[1.02735015],[1.87663706e-08],0.05701264894940561
1717201221294653078,0.0,[0.35358175],[6.256964e-09],-1.7302880594312917
1717201221351242307,0.0,[0.58357485],[1.03124724e-08],2.740195459158431
1717201221406532869,0.0,[1.63468578],[2.9565368e-08],-0.11909119682956026
1717201221462560218,0.0,[0.07788583],[1.39013946e-09],-1.0713270444202707
1717201221517326534,0.0,[0.16925073],[3.09041659e-09],1.241861181446307
1717201221576169581,0.0,[0.97242706],[1.65257771e-08],-1.4927460598638598
1717201221632966911,0.0,[1.3360499],[2.35231115e-08],1.473691998293383
1717201221687891964,0.0,[2.23833787],[4.07525853e-08],-2.8923251142231647
1717201221741955968,0.8765994341404627,[0.868319],[1.60609454e-08],0.014051366672863524
1717201221798366941,0.0,[0.84664364],[1.50084924e-08],0.04149416451276017
1717201221872488523,0.35480947605311164,[3.4526328],[4.65806686e-08],-0.032129501059229376
1717201221933932802,0.0,[2.64741063],[4.30863656e-08],-0.09278631136625604
1717201221990199466,0.6549073926046228,[2.58930413],[4.60184413e-08],-0.023497833343366012
1717201222044789078,0.7196376098837711,[0.76845229],[1.40768962e-08],0.02117970311845674
1717201222102846304,0.0,[1.30398716],[2.24603769e-08],0.09735889610473518
1717201222158977293,0.0,[0.29079082],[5.18057541e-09],0.18320156167862844
1717201222215139873,0.0,[0.69274942],[1.23347152e-08],2.5078345940219915
1717201222268583735,0.0,[1.44057433],[2.69549075e-08],-2.35556674691623
1717201222320762655,0.0,[2.97138959],[5.694617e-08],-0.4563082114323231
1717201222372952276,0.0,[1.76365441],[3.37932027e-08],0.07320608943927623
1717201222425434165,0.0,[0.68169424],[1.29891333e-08],2.9424916222563224
1717201222512914098,0.0,[0.75833794],[8.66870745e-09],-2.765379093957475
1717201222564197662,0.6074814674185485,[1.19713624],[2.33434686e-08],0.025060519789707525
1717201222618278359,0.0,[1.59699247],[2.95298061e-08],-0.08728776518941567
1717201222670454724,0.0,[2.9087987],[5.57493561e-08],-0.10942969086348567
1717201222722856805,0.0,[0.32282436],[6.16052575e-09],0.7327911358255949
1717201222777018929,0.0,[2.39001998],[4.41271474e-08],1.4157659845533046
1717201222834175147,0.0,[0.71910692],[1.25814296e-08],0.7330478894166332
1717201222891049214,0.0,[2.50098983],[4.39741696e-08],-2.8304025158530184
1717201222949274107,0.0,[0.59657322],[1.02460167e-08],2.724149726449545
1717201223004001797,0.0,[2.54410624],[4.64866376e-08],-2.6341604781507137
1717201223057788484,0.0,[3.17176413],[5.89693169e-08],-0.23585864491598682
1717201223115561195,0.0,[1.65056958],[2.85700564e-08],0.171830583851144
1717201223172253413,0.0,[0.81779489],[1.44251705e-08],0.17922686753189493
1717201223228608247,0.0,[0.48849411],[8.66818488e-09],2.5596973733684205
1717201223284141699,0.0,[0.2751955],[4.95549074e-09],-0.40455710221976027
1717201223339463111,0.0,[0.37194876],[6.72341418e-09],0.4999803146298514
1717201223394613440,0.0,[0.18820162],[3.4125205e-09],-1.6338699101060108
1717201223450789378,0.0,[0.80638579],[1.43546478e-08],-0.6507327294447631
1717201223507700840,0.0,[2.11945282],[3.72412302e-08],-0.6944540406948302
1717201223564115570,0.0,[3.15997424],[5.6013284e-08],0.12197494632979029
1717201223622171025,0.0,[0.46531861],[8.01507133e-09],0.2496608039951802
1717201223678446140,0.0,[1.86925588],[3.32163856e-08],2.3737277933718017
1717201223734985903,0.0,[1.66709759],[2.94854016e-08],-2.6540282218502527
1717201223792077215,0.0,[1.00743301],[1.76459954e-08],2.935067974318448
1717201223849296906,0.0,[3.04727139],[5.32556431e-08],-2.921406488546332
1717201223940977372,0.5030922923226382,[1.01355528],[1.10553026e-08],0.028196672361890135
1717201223998691861,0.0,[0.86249464],[1.49441617e-08],0.2499942608283964
1717201224057594264,0.0,[2.28292548],[3.87577654e-08],-0.13866106599319955
1717201224121223338,0.0,[1.77167956],[2.78438688e-08],2.5949995471952203
1717201224180528471,0.0,[0.82418227],[1.38973178e-08],-2.6079495003336794
1717201224239373151,0.0,[0.37306568],[6.33983711e-09],0.3638670676862983
1717201224298499828,0.0,[0.24634048],[4.16631699e-09],2.2269903458961897
1717201224356538917,0.0,[1.8620006],[3.20818378e-08],-1.9697791678391852
