Filter X,Filter Y,IMU X,IMU Y,GPS X,GPS Y,Ground Truth X,Ground Truth Y,Algorithm,Spoofing Rate
0.035526315789473684,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0019999999999997797,CI,2
0.06780821917808219,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0019999999999997797,CI,2
0.0782967032967033,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0009999999999994458,CI,2
0.08125613346418059,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0009999999999994458,CI,2
0.08206021561924796,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0009999999999994458,CI,2
0.08227647431832592,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0009999999999994458,CI,2
0.08233447865732788,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0019999999999997797,CI,2
0.08235002504008943,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0019999999999997797,CI,2
0.08235419098003019,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235530726175826,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235560637008839,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235568651603466,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.0823557079910842,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571374530692,0.0,0.0,0.0,0.0,0.0,0.0019999999999988916,0.0019999999999997797,CI,2
0.0823557152871463,0.0,0.0,0.0,0.0,0.0,0.0019999999999988916,0.0019999999999997797,CI,2
0.08235571570028094,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571581098003,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571584064176,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.08235571584858958,0.0,0.0,0.0,0.0,0.0,0.0010000000000012221,0.0009999999999994458,CI,2
0.11895825622916306,0.0,0.0,0.0,0.05,0.0,0.0,0.0019999999999997797,CI,2
0.16516629142478087,-0.003228112847503322,0.0,0.0,0.09972389031384371,-0.004351128148092717,0.0,0.0009999999999994458,CI,2
0.21411051770820408,-0.0027807184578449453,0.0,0.0,0.14966964655704007,-0.0026680430792844884,0.0,0.0009999999999994458,CI,2
0.2637964718633823,-0.0010595537511986998,0.0,0.0,0.1996271007086433,-0.0005000435664808779,0.0,0.0009999999999994458,CI,2
0.3139153543725735,0.0012910962405765995,0.0,0.0,0.2499044349881546,0.0020915626302077267,0.0,0.0009999999999994458,CI,2
0.3643821034474149,8.393828354701587e-05,0.0,0.0,0.30049850506701525,-0.0003144989289434842,0.0019999999999988916,0.004999999999999893,CI,2
0.4146352118941889,0.0026502933447510126,0.0,0.0,0.35067340749908166,0.003540572244704926,0.0019999999999988916,0.004999999999999893,CI,2
0.464617780162282,0.006782708453611149,0.0,0.0,0.4005569311598879,0.008250838592885432,0.0019999999999988916,0.009999999999999787,CI,2
0.5146579072730069,0.011820085516188095,0.0,0.0,0.4506181039391777,0.013661988574018265,0.0019999999999988916,0.009999999999999787,CI,2
0.5637841586740047,0.014731047446291903,0.0,0.0,0.4994099804472841,0.01591646952216335,0.0,0.016000000000000014,CI,2
0.6139164172140975,0.02069637586009831,0.0,0.0,0.5499103699729114,0.022981703853103736,0.0,0.016000000000000014,CI,2
0.664397140521488,0.028190032262896604,0.0,0.0,0.6005187042103594,0.03109615852465569,-0.0019999999999988916,0.02799999999999958,CI,2
0.7150257195933292,0.03685345051340346,0.0,0.0,0.6512016153421061,0.040282951023824586,-0.0019999999999988916,0.02799999999999958,CI,2
0.7642053360028537,0.04462376957719116,0.0,0.0,0.6998515877356507,0.047888197743320336,-0.0019999999999988916,0.02799999999999958,CI,2
0.8144722694649278,0.05535193184903771,0.0,0.0,0.7505167246033172,0.059764527684111494,-0.0019999999999988916,0.02799999999999958,CI,2
0.8650635268861492,0.06809607079753464,0.0,0.0,0.8012275126805238,0.07338206561453813,-0.004999999999999005,0.06099999999999994,CI,2
0.9158517641963041,0.08256011509713773,0.0,0.0,0.8520892999221419,0.08865383477377833,-0.004999999999999005,0.06099999999999994,CI,2
0.9626742922639178,0.09462522327851208,0.0,0.0,0.8974639873508254,0.10014542077964837,-0.0070000000000014495,0.08499999999999996,CI,2
1.0127973227390208,0.11164342287218615,0.0,0.0,0.9487960821131678,0.11907733803547899,-0.0070000000000014495,0.08499999999999996,CI,2
1.0639981227215958,0.13137147211095435,0.0013941947967867265,0.0986731524927889,1.0003949815703392,0.14003360301370582,-0.012000000000000455,0.11899999999999977,CI,2
1.1155581554063985,0.15326945073180323,-0.0014275645881617113,0.1462165051991297,1.0520921198921378,0.16302521677725523,-0.012000000000000455,0.11899999999999977,CI,2
1.1694446105051093,0.17279323347657974,-0.005003457878490446,0.1842020819981606,1.106841003738605,0.18212419749601272,-0.013000000000001677,0.1589999999999998,CI,2
1.2217611220847664,0.197772425710106,-0.00778666185576829,0.21935803738756987,1.1585887584746561,0.20933604908832046,-0.013000000000001677,0.1589999999999998,CI,2
1.273759540984739,0.22578985135950752,-0.009892651951887321,0.25494903265436114,1.210482645973396,0.23885027368180242,-0.019999999999999574,0.20699999999999985,CI,2
