Time Step,Health Status,dm,dmdt
1711145866683773554,[0.99721924],[0.01054658],[0.01054658]
1711145866686185909,[0.99499855],[0.01414419],[0.01414419]
1711145866839207207,[0.14929061],[0.18446782],[0.18446782]
1711145866842075578,[0.99770386],[0.00958362],[0.00958362]
1711145866843407418,[0.99546291],[0.01347158],[0.01347158]
1711145866845762836,[0.99401402],[0.01547382],[0.01547382]
1711145866848356982,[0.99394889],[0.01555777],[0.01555777]
1711145866851805157,[0.99225549],[0.01760058],[0.01760058]
1711145866853470017,[0.99526396],[0.01376378],[0.01376378]
1711145866857291211,[0.98817523],[0.02174835],[0.02174835]
1711145866858309518,[0.99644323],[0.01192773],[0.01192773]
1711145866989621062,0,[0.24988779],[0.24988779]
1711145866992774702,[0.9885365],[0.02141354],[0.02141354]
1711145866995998333,[0.99711453],[0.01074331],[0.01074331]
1711145866997244534,[0.99430845],[0.01508847],[0.01508847]
1711145866999548208,[0.9905054],[0.01948805],[0.01948805]
1711145867001994998,[0.98568288],[0.02393083],[0.02393083]
1711145867004345206,[0.99415918],[0.01528506],[0.01528506]
1711145867006660386,[0.99568085],[0.01314404],[0.01314404]
1711145867150884076,[0.47567378],[0.14482075],[0.14482075]
1711145867152850818,[0.99371804],[0.01585176],[0.01585176]
1711145867154687582,[0.98955399],[0.02044115],[0.02044115]
1711145867155675152,[0.99363442],[0.01595691],[0.01595691]
1711145867157653077,[0.99163546],[0.01829157],[0.01829157]
1711145867163366974,[0.98933635],[0.02065299],[0.02065299]
1711145867167439413,[0.99523035],[0.01381253],[0.01381253]
1711145867382638373,0,[0.48577576],[0.48577576]
1711145867383797171,[0.99443763],[0.01491625],[0.01491625]
1711145867386878083,[0.9874147],[0.02243684],[0.02243684]
1711145867389783569,[0.99437051],[0.01500598],[0.01500598]
1711145867392273428,[0.98725929],[0.02257495],[0.02257495]
1711145867395515130,[0.99225438],[0.01760185],[0.01760185]
1711145867396912725,[0.98407133],[0.02524176],[0.02524176]
1711145867520041173,[0.5245208],[0.13791],[0.13791]
1711145867521169925,[0.98645791],[0.0232741],[0.0232741]
1711145867523014015,[0.99175693],[0.01815827],[0.01815827]
1711145867524900518,[0.98917125],[0.02081226],[0.02081226]
1711145867527796781,[0.98620654],[0.02348912],[0.02348912]
1711145867530822288,[0.97528205],[0.03144389],[0.03144389]
1711145867532005209,[0.99723595],[0.01051485],[0.01051485]
1711145867534004760,[0.9915005],[0.01843855],[0.01843855]
1711145867683077995,[0.04602244],[0.19534355],[0.19534355]
1711145867811552640,0,[0.58134072],[0.58134072]
1711145867814932534,[0.99007394],[0.01992592],[0.01992592]
1711145867816877607,[0.98683012],[0.02295202],[0.02295202]
1711145867818818491,[0.9865666],[0.02318051],[0.02318051]
1711145867821156712,[0.96923048],[0.03508249],[0.03508249]
1711145867823024825,[0.9946241],[0.01466411],[0.01466411]
1711145867824924137,[0.98254328],[0.02642477],[0.02642477]
1711145867827221437,[0.99223974],[0.01761847],[0.01761847]
1711145867829465660,[0.98621335],[0.02348331],[0.02348331]
1711145867832459552,[0.98620342],[0.02349177],[0.02349177]
1711145867834870062,[0.98616114],[0.02352774],[0.02352774]
1711145867837107755,[0.9823197],[0.02659346],[0.02659346]
1711145867975282313,[0.98184263],[0.02694986],[0.02694986]
1711145867977584705,[0.9917613],[0.01815345],[0.01815345]
1711145867979175747,[0.9717124],[0.03363783],[0.03363783]
1711145867980166714,[0.98835675],[0.02158078],[0.02158078]
1711145867983945491,[0.98847281],[0.02147295],[0.02147295]
1711145867986772571,[0.98512729],[0.02439074],[0.02439074]
1711145867990327968,[0.98873661],[0.02122583],[0.02122583]
1711145867995019913,[0.97730581],[0.03012918],[0.03012918]
1711145868160797771,[0.09631597],[0.19012459],[0.19012459]
1711145868161868193,[0.98461848],[0.02480445],[0.02480445]
1711145868163712824,[0.98055535],[0.02788882],[0.02788882]
1711145868165439415,[0.98825105],[0.02167852],[0.02167852]
1711145868166222834,[0.98825668],[0.02167332],[0.02167332]
1711145868169363797,[0.97115603],[0.03396703],[0.03396703]
1711145868170488729,[0.9913845],[0.01856394],[0.01856394]
1711145868303409731,0,[0.2296571],[0.2296571]
1711145868305557231,[0.9876424],[0.02223294],[0.02223294]
1711145868308848048,[0.98384193],[0.02542288],[0.02542288]
1711145868311654943,[0.97935689],[0.02873542],[0.02873542]
1711145868313017721,[0.98736832],[0.02247815],[0.02247815]
1711145868315574237,[0.98337713],[0.02578595],[0.02578595]
1711145868317881379,[0.98720765],[0.02262065],[0.02262065]
1711145868320242047,[0.97874751],[0.02915647],[0.02915647]
1711145868463281926,0,[0.39901541],[0.39901541]
1711145868464975734,[0.98628109],[0.02342555],[0.02342555]
1711145868465738678,[0.9861243],[0.02355904],[0.02355904]
1711145868467396447,[0.98169791],[0.02705704],[0.02705704]
1711145868469824781,[0.96516328],[0.0373292],[0.0373292]
1711145868472671730,[0.99278505],[0.01698817],[0.01698817]
1711145868475297847,[0.9765765],[0.03060948],[0.03060948]
1711145868477265855,[0.98141613],[0.02726453],[0.02726453]
1711145868480069784,[0.97077666],[0.03418967],[0.03418967]
1711145868603861324,0,[0.21460631],[0.21460631]
1711145868606334963,[0.98039389],[0.02800437],[0.02800437]
1711145868608906790,[0.98491636],[0.0245631],[0.0245631]
1711145868610309716,[0.98020478],[0.0281391],[0.0281391]
1711145868613665694,[0.97481137],[0.03174185],[0.03174185]
1711145868617987449,[0.93860056],[0.04955782],[0.04955782]
1711145868618945093,[0.99874049],[0.00709792],[0.00709792]
1711145868753606776,0,[0.45978675],[0.45978675]
1711145868757185366,[0.9658242],[0.0369734],[0.0369734]
1711145868763904546,[0.98763796],[0.02223694],[0.02223694]
1711145868767807390,[0.97793089],[0.02971135],[0.02971135]
1711145868771288212,[0.97782501],[0.02978254],[0.02978254]
1711145868774282411,[0.96516514],[0.0373282],[0.0373282]
1711145868778052546,[0.98284478],[0.02619559],[0.02619559]
1711145868781688301,[0.97749451],[0.03000366],[0.03000366]
1711145868784707123,[0.98269412],[0.02631036],[0.02631036]
1711145868787738574,[0.97729856],[0.03013399],[0.03013399]
1711145868790875212,[0.97112786],[0.03398361],[0.03398361]
1711145868793668768,[0.96416037],[0.03786271],[0.03786271]
1711145868796779973,[0.99100133],[0.01897226],[0.01897226]
1711145868800149964,[0.96384927],[0.03802669],[0.03802669]
1711145868946442185,[0.98219892],[0.02668414],[0.02668414]
1711145868949349140,[0.976649],[0.03056207],[0.03056207]
1711145868950956818,[0.97030245],[0.03446595],[0.03446595]
1711145868953786294,[0.98195301],[0.02686782],[0.02686782]
1711145868956636034,[0.97003226],[0.03462238],[0.03462238]
1711145868958868000,[0.98178979],[0.02698905],[0.02698905]
1711145868963854078,[0.97611523],[0.0309094],[0.0309094]
1711145868967488129,[0.98163649],[0.02710241],[0.02710241]
1711145868969893458,[0.96950849],[0.03492363],[0.03492363]
1711145869097835635,[0.15548254],[0.18379526],[0.18379526]
1711145869098925441,[0.97516173],[0.03152032],[0.03152032]
1711145869101171037,[0.9684218],[0.03554051],[0.03554051]
1711145869103556241,[0.97493669],[0.03166279],[0.03166279]
1711145869106278169,[0.96065068],[0.03967332],[0.03967332]
1711145869109451252,[0.98577358],[0.02385491],[0.02385491]
