Time Step,Health Status,dm,dmdt
1711585551463632884,[0.99695301],[0.0110399],[0.0110399]
1711585551465579137,[0.99691258],[0.01111292],[0.01111292]
1711585551467534218,[0.99621317],[0.01230744],[0.01230744]
1711585551528016141,[0.99743222],[0.01013465],[0.01013465]
1711585551529887451,[0.99646073],[0.01189835],[0.01189835]
1711585551589819368,[0.99706793],[0.01082971],[0.01082971]
1711585551591706168,[0.99671125],[0.01146953],[0.01146953]
1711585551653552761,[0.99632838],[0.01211878],[0.01211878]
1711585551655554821,[0.99628409],[0.01219165],[0.01219165]
1711585551657545900,[0.99723533],[0.01051603],[0.01051603]
1711585551659561587,[0.99653549],[0.01177202],[0.01177202]
1711585551719385840,[0.99647394],[0.01187613],[0.01187613]
1711585551721272940,[0.9963975],[0.01200417],[0.01200417]
1711585551723149170,[0.99630971],[0.01214955],[0.01214955]
1711585551725088620,[0.99621047],[0.01231184],[0.01231184]
1711585551787518310,[0.99610332],[0.01248467],[0.01248467]
1711585551789480744,[0.99556729],[0.01331572],[0.01331572]
1711585551851142872,[0.99540892],[0.0135515],[0.0135515]
1711585551853012449,[0.99610208],[0.01248666],[0.01248666]
1711585551854810870,[0.99552492],[0.01337921],[0.01337921]
1711585551856752835,[0.9953539],[0.01363247],[0.01363247]
1711585551916655045,[0.99516471],[0.01390725],[0.01390725]
1711585551917962255,[0.99549843],[0.01341875],[0.01341875]
1711585551919198050,[0.99422875],[0.01519375],[0.01519375]
1711585552021799095,[0.99457594],[0.01472965],[0.01472965]
1711585552023780807,[0.99430925],[0.01508741],[0.01508741]
1711585552025735867,[0.994083],[0.01538441],[0.01538441]
1711585552027654307,[0.99443248],[0.01492316],[0.01492316]
1711585552088111632,[0.99289453],[0.01685879],[0.01685879]
1711585552089990637,[0.99327112],[0.01640595],[0.01640595]
1711585552091819085,[0.99297106],[0.01676776],[0.01676776]
1711585552150755199,[0.99266604],[0.0171277],[0.0171277]
1711585552152710419,[0.99235689],[0.01748498],[0.01748498]
1711585552154551913,[0.99277133],[0.01700432],[0.01700432]
1711585552212930070,[0.99084254],[0.01913892],[0.01913892]
1711585552214789948,[0.99126573],[0.01869147],[0.01869147]
1711585552217127255,[0.98998551],[0.02001448],[0.02001448]
1711585552282351904,[0.99143738],[0.01850689],[0.01850689]
1711585552284401145,[0.99109789],[0.0188702],[0.0188702]
1711585552286306120,[0.98754858],[0.02231719],[0.02231719]
1711585552351723480,[0.99131724],[0.01863626],[0.01863626]
1711585552353682117,[0.98885825],[0.0211109],[0.0211109]
1711585552387210903,[0.98719757],[0.02262956],[0.02262956]
1711585552458053150,[0.98666441],[0.02309597],[0.02309597]
1711585552460017117,[0.9886468],[0.02131028],[0.02131028]
1711585552461897444,[0.98694502],[0.02285168],[0.02285168]
1711585552463707618,[0.98644233],[0.02328748],[0.02328748]
1711585552524771963,[0.98593109],[0.02372248],[0.02372248]
1711585552526798831,[0.98540271],[0.02416385],[0.02416385]
1711585552528678087,[0.98631338],[0.02339796],[0.02339796]
1711585552591795360,[0.9827331],[0.02628072],[0.02628072]
1711585552593677651,[0.9852682],[0.02427493],[0.02427493]
1711585552595638320,[0.98146506],[0.02722861],[0.02722861]
1711585552660839663,[0.98247707],[0.02647484],[0.02647484]
1711585552662689322,[0.98195959],[0.02686292],[0.02686292]
1711585552720582721,[0.97932029],[0.02876088],[0.02876088]
1711585552722476905,[0.98255195],[0.02641822],[0.02641822]
1711585552724304070,[0.97999722],[0.02828624],[0.02828624]
