Time Step,Health Status,dm,dmdt
1711148951658720941,[0.99660512],[0.01165313],[0.01165313]
1711148951659724311,[0.99658018],[0.01169584],[0.01169584]
1711148951818924747,0,[0.23078617],[0.23078617]
1711148951822656143,[0.99461287],[0.01467942],[0.01467942]
1711148951825071032,[0.99457138],[0.01473583],[0.01473583]
1711148951967121866,0,[0.20981028],[0.20981028]
1711148951969592405,[0.99396882],[0.01553214],[0.01553214]
1711148951971706653,[0.97564053],[0.03121504],[0.03121504]
1711148952153461930,0,[0.32019804],[0.32019804]
1711148952154975674,[0.99100179],[0.01897178],[0.01897178]
1711148952157167119,[0.99307233],[0.01664652],[0.01664652]
1711148952160124654,[0.98848184],[0.02146454],[0.02146454]
1711148952163525196,[0.98266712],[0.02633088],[0.02633088]
1711148952167171578,[0.99481129],[0.01440654],[0.01440654]
1711148952168418745,[0.99073161],[0.0192545],[0.0192545]
1711148952402278459,0,[0.32072176],[0.32072176]
1711148952403635777,[0.99744303],[0.01011329],[0.01011329]
1711148952406602388,[0.98394308],[0.02534318],[0.02534318]
1711148952408681738,[0.99419256],[0.01524132],[0.01524132]
1711148952409670892,[0.98686936],[0.0229178],[0.0229178]
1711148952415608181,[0.98678117],[0.02299463],[0.02299463]
1711148952418096023,[0.99195162],[0.01794255],[0.01794255]
1711148952420620846,[0.98942772],[0.02056432],[0.02056432]
1711148952576993052,[0.11616332],[0.18802518],[0.18802518]
1711148952582861385,[0.99139339],[0.01855437],[0.01855437]
1711148952584152406,[0.98869006],[0.02126964],[0.02126964]
1711148952586277143,[0.98559307],[0.02400578],[0.02400578]
1711148952587813914,[0.98854234],[0.0214081],[0.0214081]
1711148952591686202,[0.98848007],[0.02146619],[0.02146619]
1711148952594358056,[0.98533144],[0.02422277],[0.02422277]
1711148952595236307,[0.9910589],[0.01891148],[0.01891148]
1711148952738363042,0,[0.31628361],[0.31628361]
1711148952741864789,[0.98763968],[0.0222354],[0.0222354]
1711148952744240567,[0.9875882],[0.02228165],[0.02228165]
1711148952745931090,[0.9951328],[0.01395307],[0.01395307]
1711148952748741790,[0.99040188],[0.019594],[0.019594]
1711148952751149779,[0.98731642],[0.02252428],[0.02252428]
1711148952752559442,[0.98706101],[0.02274994],[0.02274994]
1711148952936603069,0,[0.51662624],[0.51662624]
1711148952938919402,[0.98191169],[0.02689856],[0.02689856]
1711148952941067925,[0.98883632],[0.02113166],[0.02113166]
1711148952943347278,[0.98529465],[0.02425312],[0.02425312]
1711148952945021312,[0.95485346],[0.04249543],[0.04249543]
1711148952947343127,[0.99976977],[0.00303464],[0.00303464]
1711148952950038657,[0.97217096],[0.03336408],[0.03336408]
1711148952952921465,[0.99172463],[0.01819381],[0.01819381]
1711148952956102564,[0.98873018],[0.02123188],[0.02123188]
1711148952958953116,[0.97203114],[0.03344779],[0.03344779]
1711148952960708977,[0.99154319],[0.01839219],[0.01839219]
1711148952961923074,[0.98055026],[0.02789247],[0.02789247]
1711148952964062530,[0.99118517],[0.01877746],[0.01877746]
1711148952966280315,[0.97981664],[0.02841363],[0.02841363]
1711148952967557790,[0.98374212],[0.02550128],[0.02550128]
1711148953126909783,[0.98763362],[0.02224084],[0.02224084]
1711148953131203613,[0.98402693],[0.02527692],[0.02527692]
1711148953134129895,[0.98420642],[0.0251345],[0.0251345]
1711148953135713366,[0.98437575],[0.0249994],[0.0249994]
1711148953139214620,[0.97084547],[0.03414939],[0.03414939]
1711148953140177803,[0.98477152],[0.02468075],[0.02468075]
1711148953292808439,0,[0.23655864],[0.23655864]
1711148953293982417,[0.99896091],[0.00644697],[0.00644697]
1711148953300918764,[0.94890778],[0.04520718],[0.04520718]
1711148953303469787,[0.99764231],[0.00971122],[0.00971122]
1711148953304661278,[0.98713041],[0.02268884],[0.02268884]
1711148953307421285,[0.96196107],[0.03900714],[0.03900714]
1711148953310412723,[0.99575257],[0.01303446],[0.01303446]
1711148953314968503,[0.97348458],[0.03256711],[0.03256711]
1711148953316284512,[0.99045947],[0.01953513],[0.01953513]
1711148953465890455,0,[0.42939071],[0.42939071]
1711148953468311058,[0.98161352],[0.02711935],[0.02711935]
1711148953471054074,[0.98148696],[0.02721252],[0.02721252]
1711148953473185053,[0.98573318],[0.02388876],[0.02388876]
1711148953475582261,[0.97627137],[0.0308082],[0.0308082]
1711148953477216856,[0.9855728],[0.02402266],[0.02402266]
1711148953616348164,0,[0.22549063],[0.22549063]
1711148953617158715,[0.97503824],[0.03159858],[0.03159858]
1711148953619339149,[0.96899807],[0.03521473],[0.03521473]
1711148953621569890,[0.99501766],[0.01411713],[0.01411713]
1711148953625415835,[0.97467224],[0.0318294],[0.0318294]
1711148953628747673,[0.97987859],[0.02836999],[0.02836999]
1711148953630203420,[0.96172562],[0.03912768],[0.03912768]
1711148953826064247,0,[0.48738391],[0.48738391]
1711148953831363775,[0.98306948],[0.02602347],[0.02602347]
1711148954135391276,0,[1.06809241],[1.06809241]
1711148954139049278,[0.99352104],[0.01609839],[0.01609839]
1711148954141901309,[0.96709371],[0.03628018],[0.03628018]
1711148954143180157,[0.98007759],[0.02822935],[0.02822935]
1711148954146098302,[0.95082509],[0.04435083],[0.04435083]
1711148954153287694,[0.98537829],[0.02418405],[0.02418405]
1711148954157253724,[0.98537931],[0.02418321],[0.02418321]
1711148954385871036,0,[0.77107905],[0.77107905]
1711148954388161591,[0.96736847],[0.0361284],[0.0361284]
1711148954389405572,[0.9674039],[0.03610878],[0.03610878]
1711148954391566538,[0.97427128],[0.03208035],[0.03208035]
1711148954393721914,[0.98031791],[0.02805858],[0.02805858]
1711148954396896912,[0.98033942],[0.02804324],[0.02804324]
1711148954399963408,[0.97434063],[0.03203709],[0.03203709]
1711148954402717810,[0.97437124],[0.03201797],[0.03201797]
1711148954578055482,[0.07664423],[0.19218281],[0.19218281]
1711148954582666732,[0.95098364],[0.04427928],[0.04427928]
1711148954682176480,[0.98987146],[0.02012813],[0.02012813]
1711148954683894419,[0.9672135],[0.03621408],[0.03621408]
1711148954875448990,0,[0.86619907],[0.86619907]
1711148954878809856,[0.96743396],[0.03609213],[0.03609213]
1711148954880425880,[0.98023645],[0.02811658],[0.02811658]
1711148954884787143,[0.90931949],[0.06022641],[0.06022641]
1711148954886373553,[0.99839044],[0.00802387],[0.00802387]
1711148954888632147,[0.98030071],[0.02807083],[0.02807083]
1711148954890655299,[0.9674782],[0.0360676],[0.0360676]
1711148955078681884,0,[0.52092515],[0.52092515]
1711148955080484504,[0.97318781],[0.03274885],[0.03274885]
1711148955081908540,[0.9848768],[0.02459528],[0.02459528]
1711148955083326453,[0.96587208],[0.03694749],[0.03694749]
1711148955084116235,[0.97929344],[0.02877955],[0.02877955]
1711148955086259691,[0.97287533],[0.03293914],[0.03293914]
1711148955089263970,[0.97917208],[0.02886376],[0.02886376]
1711148955252721930,0,[0.39951156],[0.39951156]
1711148955254437122,[0.96429613],[0.03779094],[0.03779094]
1711148955256247928,[0.97171233],[0.03363788],[0.03363788]
1711148955258323931,[0.9463564],[0.04632218],[0.04632218]
1711148955259930447,[0.98888865],[0.02108208],[0.02108208]
1711148955260756919,[0.96392],[0.03798947],[0.03798947]
1711148955262436955,[0.94593529],[0.04650364],[0.04650364]
1711148955404318452,[0.04646006],[0.19529874],[0.19529874]
1711148955406713486,[0.97774876],[0.0298337],[0.0298337]
1711148955408902381,[0.97770146],[0.02986539],[0.02986539]
1711148955411373319,[0.94480766],[0.0469861],[0.0469861]
1711148955577835073,0,[0.22309315],[0.22309315]
1711148955587901486,[0.97030873],[0.03446231],[0.03446231]
1711148955590849899,[0.95349371],[0.04313063],[0.04313063]
1711148955593037567,[0.97715882],[0.0302266],[0.0302266]
1711148955595276332,[0.97010554],[0.03458003],[0.03458003]
1711148955596522568,[0.9620764],[0.03894797],[0.03894797]
1711148955601560232,[0.97700805],[0.03032619],[0.03032619]
1711148955604144057,[0.9699088],[0.03469363],[0.03469363]
1711148955778205097,0,[0.56068656],[0.56068656]
1711148955782342615,[0.96860559],[0.03543693],[0.03543693]
1711148955784772416,[0.96850785],[0.03549205],[0.03549205]
1711148955788678742,[0.96840938],[0.0355475],[0.0355475]
1711148956234414943,0,[1.58439832],[1.58439832]
1711148956237493246,[0.96908586],[0.03516483],[0.03516483]
1711148956238760131,[0.95936635],[0.04031558],[0.04031558]
1711148956241105660,[0.93602896],[0.05058499],[0.05058499]
1711148956243230197,[0.96843089],[0.03553539],[0.03553539]
1711148956246677698,[0.97667804],[0.03054306],[0.03054306]
1711148956256614569,[0.94719516],[0.04595861],[0.04595861]
1711148956258102727,[0.94679119],[0.04613407],[0.04613407]
1711148956417910365,0,[0.58891497],[0.58891497]
1711148956421603549,[0.97386303],[0.03233386],[0.03233386]
1711148956424933232,[0.95326345],[0.04323727],[0.04323727]
1711148956427936460,[0.95295453],[0.04337994],[0.04337994]
1711148956429330168,[0.95264067],[0.0435244],[0.0435244]
1711148956432983460,[0.95233129],[0.04366633],[0.04366633]
1711148956436744338,[0.93923896],[0.04929951],[0.04929951]
1711148956657062074,0,[0.68617336],[0.68617336]
1711148956661367866,[0.93256054],[0.05193822],[0.05193822]
1711148956666244948,[0.97907223],[0.02893287],[0.02893287]
1711148956667896548,[0.94615663],[0.04640835],[0.04640835]
1711148956670367798,[0.9458241],[0.04655143],[0.04655143]
1711148956837049505,0,[0.71520114],[0.71520114]
1711148956838987986,[0.92464832],[0.05490052],[0.05490052]
1711148956841309319,[0.96634128],[0.03669262],[0.03669262]
1711148956842331195,[0.90597922],[0.06132561],[0.06132561]
1711148956844539693,[0.95366351],[0.04305182],[0.04305182]
1711148956854877871,[0.93916882],[0.04932796],[0.04932796]
1711148957018880096,0,[0.69751154],[0.69751154]
1711148957021498086,[0.89761972],[0.06399384],[0.06399384]
1711148957024903594,[0.93412603],[0.05133185],[0.05133185]
1711148957026779284,[0.9628019],[0.03857362],[0.03857362]
1711148957031822131,[0.89619045],[0.06443898],[0.06443898]
1711148957035491311,[0.93322357],[0.05168227],[0.05168227]
1711148957038366425,[0.94865818],[0.04531747],[0.04531747]
1711148957041971064,[0.94845386],[0.04540755],[0.04540755]
1711148957046795926,[0.93239615],[0.05200148],[0.05200148]
1711148957051252220,[0.93208931],[0.05211936],[0.05211936]
1711148957439842313,0,[1.67262887],[1.67262887]
1711148957442583179,[0.94988826],[0.0447713],[0.0447713]
1711148957443679438,[0.94997432],[0.04473284],[0.04473284]
1711148957447341668,[0.93479422],[0.05107084],[0.05107084]
1711148957450572676,[0.93493646],[0.05101511],[0.05101511]
1711148957457490118,[0.93508301],[0.05095763],[0.05095763]
1711148957682513545,0,[1.20939624],[1.20939624]
