Time Step,Health Status,dm,dmdt
1711585698991329998,[0.97484305],[0.03172189],[0.03172189]
1711585699052318051,[0.97142954],[0.0338056],[0.0338056]
1711585699054044868,[0.97054357],[0.03432575],[0.03432575]
1711585699055767185,[0.96659392],[0.03655466],[0.03655466]
1711585699116950973,[0.95113797],[0.04420951],[0.04420951]
1711585699118860719,[0.97941788],[0.02869294],[0.02869294]
1711585699120695312,[0.97030736],[0.0344631],[0.0344631]
1711585699122491692,[0.96957968],[0.03488285],[0.03488285]
1711585699185847469,[0.96545901],[0.03717041],[0.03717041]
1711585699187705447,[0.96091566],[0.03953952],[0.03953952]
1711585699189523077,[0.96367047],[0.03812062],[0.03812062]
1711585699248450967,[0.96283063],[0.03855872],[0.03855872]
1711585699250283636,[0.96596908],[0.03689494],[0.03689494]
1711585699252307075,[0.95766501],[0.04115094],[0.04115094]
1711585699310374382,[0.96049029],[0.0397541],[0.0397541]
1711585699312154170,[0.95932334],[0.04033691],[0.04033691]
1711585699313892879,[0.96258928],[0.0386837],[0.0386837]
1711585699374294861,[0.95331211],[0.04321476],[0.04321476]
1711585699376049651,[0.95999017],[0.04000492],[0.04000492]
1711585699377782920,[0.95329353],[0.04322336],[0.04322336]
1711585699437625128,[0.95491012],[0.04246876],[0.04246876]
1711585699439526088,[0.9548746],[0.04248548],[0.04248548]
1711585699441301337,[0.94303293],[0.04773555],[0.04773555]
1711585699536973262,[0.96075419],[0.03962111],[0.03962111]
1711585699567525329,[0.95089373],[0.04431987],[0.04431987]
1711585699569185358,[0.95022458],[0.04462081],[0.04462081]
1711585699636439510,[0.94917807],[0.04508744],[0.04508744]
1711585699638244907,[0.94247736],[0.04796776],[0.04796776]
1711585699639963277,[0.94682245],[0.04612051],[0.04612051]
1711585699641702217,[0.94586136],[0.04653542],[0.04653542]
1711585699704824607,[0.94477142],[0.04700152],[0.04700152]
1711585699706633991,[0.93781951],[0.04987203],[0.04987203]
1711585699771273236,[0.94820743],[0.04551596],[0.04551596]
1711585699772995443,[0.94089163],[0.04862443],[0.04862443]
1711585699774726137,[0.93099145],[0.05253896],[0.05253896]
1711585699841884766,[0.93105804],[0.0525136],[0.0525136]
1711585699843618195,[0.95115038],[0.0442039],[0.0442039]
1711585699845354430,[0.94066291],[0.04871841],[0.04871841]
1711585699910354486,[0.93724162],[0.05010325],[0.05010325]
1711585699912079379,[0.9279936],[0.05366802],[0.05366802]
1711585699914056483,[0.92744194],[0.05387321],[0.05387321]
1711585699978323565,[0.94611288],[0.0464272],[0.0464272]
1711585699980089356,[0.93230742],[0.0520356],[0.0520356]
1711585699981824408,[0.93791176],[0.04983502],[0.04983502]
1711585699983528391,[0.93023177],[0.05282735],[0.05282735]
1711585700050785709,[0.92161844],[0.05599341],[0.05599341]
1711585700113193492,[0.92742838],[0.05387824],[0.05387824]
1711585700114374824,[0.9261938],[0.05433459],[0.05433459]
1711585700115581765,[0.92507414],[0.05474518],[0.05474518]
1711585700117972402,[0.93134872],[0.05240278],[0.05240278]
1711585700178377511,[0.91477321],[0.05838726],[0.05838726]
1711585700180184552,[0.92139969],[0.05607149],[0.05607149]
1711585700181862394,[0.92794952],[0.05368444],[0.05368444]
1711585700240246663,[0.91894114],[0.05694167],[0.05694167]
1711585700242039505,[0.91767708],[0.05738394],[0.05738394]
1711585700243710124,[0.91639982],[0.05782739],[0.05782739]
1711585700303655061,[0.90638547],[0.06119298],[0.06119298]
1711585700305516695,[0.91376547],[0.05873143],[0.05873143]
1711585700307313104,[0.91245638],[0.05917554],[0.05917554]
1711585700369627327,[0.91114647],[0.05961662],[0.05961662]
1711585700371436241,[0.91865594],[0.05704176],[0.05704176]
1711585700373132238,[0.89917149],[0.06350701],[0.06350701]
1711585700438088016,[0.90717804],[0.06093339],[0.06093339]
1711585700439872563,[0.90584005],[0.06137099],[0.06137099]
1711585700441640859,[0.9045045],[0.06180469],[0.06180469]
1711585700443400127,[0.90317509],[0.0622334],[0.0622334]
1711585700504473879,[0.91145174],[0.05951412],[0.05951412]
1711585700506261262,[0.90058442],[0.06306047],[0.06306047]
1711585700567097225,[0.89921073],[0.06349465],[0.06349465]
1711585700568843318,[0.89781275],[0.06393348],[0.06393348]
1711585700570552801,[0.88576659],[0.06759687],[0.06759687]
1711585700634057262,[0.90523854],[0.0615667],[0.0615667]
1711585700635806120,[0.88269854],[0.0684986],[0.0684986]
1711585700637572643,[0.90270075],[0.06238566],[0.06238566]
1711585700762943814,[0.85545301],[0.07603867],[0.07603867]
1711585700764732669,[0.91030056],[0.05989973],[0.05989973]
1711585700766566300,[0.89888387],[0.06359753],[0.06359753]
1711585700828365024,[0.87491191],[0.07073559],[0.07073559]
1711585700830224194,[0.88506737],[0.06780343],[0.06780343]
1711585700831908720,[0.89499914],[0.06480767],[0.06480767]
1711585700833570802,[0.87014338],[0.07207125],[0.07207125]
1711585700896846986,[0.89240009],[0.06560485],[0.06560485]
1711585700898566769,[0.87935426],[0.06946819],[0.06946819]
1711585700900352097,[0.87788373],[0.06989028],[0.06989028]
1711585700964986683,[0.86370534],[0.07383621],[0.07383621]
1711585700966821907,[0.88710366],[0.0672001],[0.0672001]
1711585701027147913,[0.87346882],[0.07114244],[0.07114244]
1711585701028852046,[0.87198538],[0.07155826],[0.07155826]
1711585701030588170,[0.87049865],[0.07197259],[0.07197259]
1711585701032263007,[0.84141514],[0.07964543],[0.07964543]
1711585701091990088,[0.89263432],[0.06553341],[0.06553341]
1711585701093690043,[0.86602921],[0.07320404],[0.07320404]
1711585701095471223,[0.86452154],[0.0736148],[0.0736148]
1711585701156947785,[0.84892365],[0.07773708],[0.07773708]
1711585701158744485,[0.86141849],[0.07445308],[0.07445308]
1711585701160513171,[0.85989867],[0.07486022],[0.07486022]
1711585701221140563,[0.84373232],[0.07906141],[0.07906141]
1711585701222899410,[0.88393211],[0.06813748],[0.06813748]
1711585701224644311,[0.85550275],[0.07602559],[0.07602559]
1711585701286055130,[0.83898098],[0.08025435],[0.08025435]
1711585701287909361,[0.85232742],[0.07685638],[0.07685638]
1711585701289675603,[0.86541177],[0.07337254],[0.07337254]
1711585701352359798,[0.84940851],[0.07761224],[0.07761224]
1711585701354074461,[0.83223918],[0.08191723],[0.08191723]
1711585701355833429,[0.83045413],[0.0823519],[0.0823519]
1711585701417757155,[0.87423616],[0.0709264],[0.0709264]
1711585701419672232,[0.84328395],[0.07917476],[0.07917476]
1711585701421402826,[0.82547119],[0.08355329],[0.08355329]
1711585701484188923,[0.84010981],[0.07997254],[0.07997254]
1711585701486005361,[0.8543326],[0.0763328],[0.0763328]
1711585701487773767,[0.820326],[0.08477594],[0.08477594]
1711585701551200018,[0.83544791],[0.08113004],[0.08113004]
1711585701552938586,[0.85013289],[0.07742535],[0.07742535]
1711585701554614996,[0.81518693],[0.08597978],[0.08597978]
1711585701618679160,[0.84730093],[0.07815346],[0.07815346]
1711585701620507972,[0.81171702],[0.08678317],[0.08678317]
1711585701622252513,[0.82761109],[0.08303949],[0.08303949]
1711585701685282336,[0.82603016],[0.08341938],[0.08341938]
1711585701686558770,[0.84159966],[0.07959908],[0.07959908]
1711585701688315013,[0.82292883],[0.08415965],[0.08415965]
1711585701690114779,[0.82133441],[0.0845377],[0.0845377]
1711585701755379382,[0.81974139],[0.08491375],[0.08491375]
1711585701757269301,[0.79945697],[0.08956406],[0.08956406]
1711585701759017508,[0.8164671],[0.08568148],[0.08568148]
1711585701850204492,[0.83295692],[0.08174181],[0.08174181]
1711585701851858128,[0.8134881],[0.08637405],[0.08637405]
1711585701948794710,[0.81348499],[0.08637477],[0.08637477]
1711585701950182047,[0.81390093],[0.0862784],[0.0862784]
1711585702015561212,[0.8143387],[0.08617686],[0.08617686]
1711585702017402528,[0.81481017],[0.08606738],[0.08606738]
1711585702019041797,[0.79638477],[0.09024749],[0.09024749]
1711585702020395589,[0.83379578],[0.0815363],[0.0815363]
1711585702085580979,[0.79753715],[0.08999174],[0.08999174]
1711585702087344335,[0.79801229],[0.08988609],[0.08988609]
1711585702089007719,[0.81565436],[0.08587098],[0.08587098]
1711585702154652079,[0.84949002],[0.07759123],[0.07759123]
1711585702220713217,[0.79347774],[0.09088944],[0.09088944]
1711585702221946178,[0.81110865],[0.08692326],[0.08692326]
1711585702223094917,[0.80958757],[0.08727254],[0.08727254]
1711585702224224691,[0.80807678],[0.08761808],[0.08761808]
1711585702227580957,[0.82547624],[0.08355208],[0.08355208]
1711585702289149112,[0.78516924],[0.09269968],[0.09269968]
1711585702290889314,[0.8228081],[0.08418834],[0.08418834]
1711585702292562979,[0.76062702],[0.09785152],[0.09785152]
1711585702354360389,[0.82012679],[0.08482292],[0.08482292]
1711585702356348104,[0.77869783],[0.09408553],[0.09408553]
1711585702358082555,[0.81757032],[0.08542357],[0.08542357]
1711585702419587161,[0.81638235],[0.08570126],[0.08570126]
1711585702421298147,[0.75214012],[0.09957106],[0.09957106]
1711585702423067124,[0.83298934],[0.08173388],[0.08173388]
1711585702486108219,[0.79255007],[0.09109334],[0.09109334]
1711585702487805089,[0.79122973],[0.09138277],[0.09138277]
1711585702489495135,[0.78992042],[0.09166888],[0.09166888]
1711585702491152177,[0.76690373],[0.09656009],[0.09656009]
1711585702560113699,[0.7653907],[0.09687297],[0.09687297]
1711585702561788536,[0.78587229],[0.09254787],[0.09254787]
1711585702563619081,[0.78458079],[0.09282655],[0.09282655]
1711585702629948831,[0.80444544],[0.0884431],[0.0884431]
1711585702631672541,[0.7820477],[0.09337072],[0.09337072]
1711585702696366341,[0.78073584],[0.0936513],[0.0936513]
1711585702698188801,[0.7080714],[0.10806084],[0.10806084]
1711585702700514694,[0.83950232],[0.08012432],[0.08012432]
1711585702763142265,[0.77652581],[0.09454611],[0.09454611]
1711585702764897946,[0.77505486],[0.09485676],[0.09485676]
1711585702766668697,[0.79564449],[0.0904114],[0.0904114]
1711585702833823231,[0.74858818],[0.10028197],[0.10028197]
1711585702835665679,[0.77017329],[0.09588049],[0.09588049]
1711585702837381524,[0.79093153],[0.09144801],[0.09144801]
1711585702839062022,[0.74242366],[0.10150396],[0.10150396]
1711585702904656685,[0.76422092],[0.09711418],[0.09711418]
1711585702906605015,[0.76197862],[0.09757487],[0.09757487]
1711585703006218314,[0.7595167],[0.09807819],[0.09807819]
1711585703008067003,[0.75683745],[0.09862303],[0.09862303]
1711585703009759594,[0.77801344],[0.0942309],[0.0942309]
1711585703034516978,[0.72553461],[0.10477889],[0.10477889]
1711585703100835150,[0.74786758],[0.10042558],[0.10042558]
1711585703102204431,[0.76961312],[0.09599727],[0.09599727]
1711585703103520251,[0.71484923],[0.10679902],[0.10679902]
1711585703104829237,[0.73781016],[0.10240895],[0.10240895]
1711585703169900849,[0.73423717],[0.10310438],[0.10310438]
1711585703171309235,[0.73055131],[0.10381689],[0.10381689]
1711585703236979204,[0.72673439],[0.10454963],[0.10454963]
1711585703238691052,[0.72273393],[0.10531212],[0.10531212]
1711585703304439921,[0.68966481],[0.11141547],[0.11141547]
1711585703305694444,[0.74214958],[0.10155795],[0.10155795]
1711585703306868702,[0.68026948],[0.11308944],[0.11308944]
1711585703309069285,[0.70548962],[0.10853762],[0.10853762]
1711585703310183980,[0.73024942],[0.10387504],[0.10387504]
1711585703373320127,[0.72631762],[0.10462932],[0.10462932]
1711585703375072342,[0.69219546],[0.11096027],[0.11096027]
1711585703377198953,[0.68746205],[0.11181019],[0.11181019]
1711585703439543424,[0.68262475],[0.11267213],[0.11267213]
1711585703441292693,[0.67771205],[0.11354082],[0.11354082]
1711585703443014811,[0.6390018],[0.12016625],[0.12016625]
1711585703506885187,[0.66729581],[0.11536103],[0.11536103]
1711585703508601504,[0.66210055],[0.11625824],[0.11625824]
1711585703510294415,[0.69043452],[0.11127722],[0.11127722]
1711585703573591898,[0.65181908],[0.11801371],[0.11801371]
1711585703575367267,[0.64643958],[0.11892189],[0.11892189]
1711585703638559903,[0.60405221],[0.12584877],[0.12584877]
1711585703640280607,[0.63522766],[0.12079277],[0.12079277]
1711585703641937390,[0.62966981],[0.12170952],[0.12170952]
1711585703706233957,[0.6608341],[0.1164759],[0.1164759]
1711585703708055134,[0.57944591],[0.12970028],[0.12970028]
1711585703709833709,[0.61275952],[0.1244573],[0.1244573]
1711585703774031029,[0.60715657],[0.12535445],[0.12535445]
1711585703775866653,[0.60159603],[0.1262385],[0.1262385]
1711585703777656641,[0.59609168],[0.12710756],[0.12710756]
1711585703873500334,[0.59068792],[0.127955],[0.127955]
1711585703875319687,[0.58533747],[0.12878859],[0.12878859]
1711585703876504916,[0.62114349],[0.12310264],[0.12310264]
1711585703942021020,[0.57517592],[0.13035706],[0.13035706]
1711585703943832478,[0.57004222],[0.13114233],[0.13114233]
1711585703945579864,[0.56496702],[0.13191406],[0.13191406]
1711585704009006628,[0.51772227],[0.13889244],[0.13889244]
1711585704010854746,[0.56368606],[0.13210813],[0.13210813]
1711585704012542147,[0.60722658],[0.12534328],[0.12534328]
1711585704077222720,[0.52151912],[0.13834463],[0.13834463]
1711585704079619770,[0.52303115],[0.13812586],[0.13812586]
1711585704080787305,[0.61087852],[0.1247592],[0.1247592]
1711585704082486809,[0.57030496],[0.13110226],[0.13110226]
1711585704147133870,[0.61359675],[0.12432268],[0.12432268]
1711585704148892727,[0.57352462],[0.13061017],[0.13061017]
1711585704216471220,[0.57537496],[0.13032652],[0.13032652]
1711585704240972996,[0.53410654],[0.13651278],[0.13651278]
1711585704242677780,[0.57965901],[0.12966742],[0.12966742]
1711585704308097689,[0.58194774],[0.12931392],[0.12931392]
1711585704309526365,[0.54183678],[0.13537551],[0.13537551]
1711585704310872923,[0.66539188],[0.11569064],[0.11569064]
1711585704375232150,[0.54751419],[0.13453413],[0.13453413]
1711585704377014523,[0.5926223],[0.12765229],[0.12765229]
1711585704378330272,[0.59572115],[0.12716585],[0.12716585]
1711585704379691258,[0.55791119],[0.13297952],[0.13297952]
1711585704443470818,[0.6025033],[0.12609468],[0.12609468]
1711585704445310851,[0.64443235],[0.11925899],[0.11925899]
1711585704510453530,[0.60969284],[0.12494913],[0.12494913]
1711585704512237425,[0.65127124],[0.11810652],[0.11810652]
1711585704513933913,[0.53751357],[0.13601271],[0.13601271]
1711585704578690152,[0.69378857],[0.11067275],[0.11067275]
1711585704580539382,[0.58779398],[0.12840654],[0.12840654]
1711585704582554893,[0.66651499],[0.11549632],[0.11549632]
1711585704684974607,[0.6348573],[0.12085408],[0.12085408]
1711585704686836051,[0.63939254],[0.1201012],[0.1201012]
1711585704688537268,[0.64396704],[0.11933699],[0.11933699]
1711585704690250889,[0.61269425],[0.12446779],[0.12446779]
1711585704760118824,[0.68715763],[0.11186463],[0.11186463]
1711585704762032729,[0.62308326],[0.12278709],[0.12278709]
1711585704829027344,[0.47450028],[0.14498272],[0.14498272]
1711585704830224907,[0.81353406],[0.0863634],[0.0863634]
1711585704831909192,[0.63932991],[0.12011163],[0.12011163]
1711585704833980465,[0.73882604],[0.10221036],[0.10221036]
1711585704897344119,[0.68212849],[0.11276019],[0.11276019]
1711585704899027592,[0.68690585],[0.11190963],[0.11190963]
1711585704900796329,[0.66019367],[0.11658582],[0.11658582]
1711585704965444871,[0.72609853],[0.10467119],[0.10467119]
1711585704967293641,[0.7010734],[0.10934836],[0.10934836]
1711585704968966504,[0.70572961],[0.10849339],[0.10849339]
1711585705031489557,[0.71037726],[0.10763322],[0.10763322]
1711585705033373795,[0.68584511],[0.11209904],[0.11209904]
1711585705035081956,[0.7470207],[0.1005941],[0.1005941]
1711585705100156324,[0.69592955],[0.11028517],[0.11028517]
1711585705102115886,[0.75516905],[0.09896079],[0.09896079]
1711585705103895313,[0.70571744],[0.10849563],[0.10849563]
1711585705168518777,[0.76298042],[0.09736931],[0.09736931]
1711585705170334383,[0.74148038],[0.10168965],[0.10168965]
1711585705172033727,[0.71965883],[0.10589451],[0.10589451]
1711585705173703654,[0.74989185],[0.10002163],[0.10002163]
1711585705238376494,[0.77779018],[0.09427827],[0.09427827]
1711585705240113700,[0.73285271],[0.10337259],[0.10337259]
1711585705241821360,[0.78478661],[0.09278219],[0.09278219]
1711585705306197782,[0.76522044],[0.09690811],[0.09690811]
1711585705308026544,[0.76896081],[0.09613307],[0.09613307]
1711585705309740886,[0.74932311],[0.10013529],[0.10013529]
1711585705377766365,[0.75336491],[0.09932474],[0.09932474]
1711585705402114494,[0.82149827],[0.08449893],[0.08449893]
1711585705495536930,[0.78280287],[0.09320883],[0.09320883]
1711585705496759451,[0.78607437],[0.09250419],[0.09250419]
1711585705497773232,[0.76778177],[0.09637805],[0.09637805]
1711585705498745343,[0.77140554],[0.09562311],[0.09562311]
1711585705501222245,[0.81563514],[0.08587546],[0.08587546]
1711585705566509502,[0.81817426],[0.08528206],[0.08528206]
1711585705568365175,[0.75975104],[0.0980304],[0.0980304]
1711585705570183737,[0.84142041],[0.0796441],[0.0796441]
1711585705634484283,[0.8067905],[0.0879112],[0.0879112]
1711585705636353793,[0.7899556],[0.0916612],[0.0916612]
1711585705700073908,[0.79289986],[0.09101651],[0.09101651]
1711585705765739478,[0.33458178],[0.16314634],[0.16314634]
1711585705767530176,[0.80048528],[0.08933414],[0.08933414]
1711585705769369698,[0.8212929],[0.08454753],[0.08454753]
1711585705834345568,[0.82342782],[0.08404099],[0.08404099]
1711585705836601170,[0.84246734],[0.07938077],[0.07938077]
