Time Step,Health Status,dm,dmdt
1711153635311429276,[0.99399678],[0.01549609],[0.01549609]
1711153635446767575,[0.69685615],[0.110117],[0.110117]
1711153635449758548,[0.99463267],[0.01465241],[0.01465241]
1711153635452110090,[0.99308191],[0.01663501],[0.01663501]
1711153635453616287,[0.99577266],[0.0130036],[0.0130036]
1711153635454969091,[0.99440943],[0.01495402],[0.01495402]
1711153635457699876,[0.99284387],[0.01691878],[0.01691878]
1711153635461942701,[0.99562322],[0.01323145],[0.01323145]
1711153635464196687,[0.99420465],[0.01522544],[0.01522544]
1711153635613870225,[0.38326436],[0.15706504],[0.15706504]
1711153635615678288,[0.98778774],[0.02210182],[0.02210182]
1711153635618758272,[0.9963141],[0.01214233],[0.01214233]
1711153635619746520,[0.99493431],[0.01423474],[0.01423474]
1711153635755337906,0,[0.23603789],[0.23603789]
1711153635758110403,[0.98813253],[0.02178759],[0.02178759]
1711153635761909845,[0.99233417],[0.01751094],[0.01751094]
1711153635764512136,[0.99408609],[0.01538039],[0.01538039]
1711153635767029564,[0.99221724],[0.01764399],[0.01764399]
1711153635768165474,[0.99215485],[0.01771458],[0.01771458]
1711153635771508237,[0.98763264],[0.02224173],[0.02224173]
1711153635993897504,0,[0.29154485],[0.29154485]
1711153635995888537,[0.99316145],[0.0165391],[0.0165391]
1711153635997795720,[0.98862209],[0.02133346],[0.02133346]
1711153635999691431,[0.96809074],[0.03572632],[0.03572632]
1711153636000459688,[1.],[0.],[0.]
1711153636002187078,[0.98840406],[0.02153689],[0.02153689]
1711153636004254797,[0.99077741],[0.01920686],[0.01920686]
1711153636063800054,[0.99072085],[0.01926567],[0.01926567]
1711153636199544508,0,[0.68197517],[0.68197517]
1711153636201470197,[0.98247959],[0.02647293],[0.02647293]
1711153636203423708,[0.98871864],[0.02124275],[0.02124275]
1711153636205176246,[0.99362419],[0.01596974],[0.01596974]
1711153636208037912,[0.9886115],[0.02134338],[0.02134338]
1711153636210022282,[0.97833064],[0.02944103],[0.02944103]
1711153636212927882,[0.99352232],[0.01609681],[0.01609681]
1711153636214559007,[0.9911454],[0.01881978],[0.01881978]
1711153636215386668,[0.98527427],[0.02426992],[0.02426992]
1711153636217250708,[0.98828386],[0.02164823],[0.02164823]
1711153636219115821,[0.98507084],[0.02443699],[0.02443699]
1711153636220991334,[0.97752943],[0.02998037],[0.02998037]
1711153636354996725,[0.99832031],[0.00819681],[0.00819681]
1711153636357740977,[0.98482028],[0.0246412],[0.0246412]
1711153636360989844,[0.9879356],[0.02196762],[0.02196762]
1711153636362448560,[0.99071908],[0.01926751],[0.01926751]
1711153636364728805,[0.98780781],[0.02208365],[0.02208365]
1711153636493038063,[0.98772962],[0.02215435],[0.02215435]
